
Image Name                     PID Session Name        Session#    Mem Usage
smartscreen.exe              20128 Console                    1     10,068 K
WmiPrvSE.exe                 10684 Services                   0     17,920 K
RuntimeBroker.exe            12140 Console                    1     11,676 K
WmiPrvSE.exe                 22288 Services                   0      9,152 K
TrustedInstaller.exe          8496 Services                   0      8,356 K
TiWorker.exe                  9576 Services                   0     13,580 K
cmd.exe                      22360 Console                    1      6,956 K
conhost.exe                  18648 Console                    1      8,136 K
OpenConsole.exe              13644 Console                    1     12,480 K
WindowsTerminal.exe          21052 Console                    1     71,292 K
msiexec.exe                  18208 Services                   0      9,808 K
chrome.exe                    8196 Console                    1     41,448 K
tasklist.exe                 11484 Console                    1      9,560 K
